datetime,ES,cash,commission,total,returns,equity_curve,drawdown
2018-02-22,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-02-23,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-02-26,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-02-27,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-02-28,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-01,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-02,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-05,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-06,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-07,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-08,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-09,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-12,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-13,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-14,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-15,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-16,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-19,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-20,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-21,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-22,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-23,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-26,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-27,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-28,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-03-29,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-02,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-03,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-04,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-05,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-06,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-09,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-10,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-11,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-12,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-13,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-16,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-17,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-18,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-19,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-20,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-23,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-24,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-25,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-26,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-27,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-04-30,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-01,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-02,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-03,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-04,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-07,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-08,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-09,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-10,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-11,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-14,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-15,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-16,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-17,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-18,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-21,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-22,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-23,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-24,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-25,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-29,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-30,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-05-31,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-01,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-04,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-05,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-06,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-07,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-08,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-11,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-12,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-13,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-14,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-15,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-18,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-19,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-20,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-21,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-22,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-25,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-26,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-27,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-28,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-06-29,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-02,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-03,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-05,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-06,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-09,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-10,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-11,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-12,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-13,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-16,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-17,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-18,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-19,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-20,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-23,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-24,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-25,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-26,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-27,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-30,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-07-31,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-01,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-02,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-03,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-06,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-07,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-08,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-09,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-10,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-13,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-14,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-15,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-16,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-17,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-20,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-21,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-22,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-23,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-24,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-27,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-28,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-29,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-30,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-08-31,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-04,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-05,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-06,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-07,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-10,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-11,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-12,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-13,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-14,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-17,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
2018-09-18,0,102543.3999999997,132.59999999999985,102543.3999999997,0.0,1.025433999999997,0.00044599999999994644
